#separator:tab
#html:true
～か<ruby><rb>月</rb><rt>げつ</rt></ruby>	"～か<ruby><rb>月</rb><rt>げつ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～かげつ<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) period of months</span>

<hr>

2か<ruby><rb>月</rb><rt>げつ</rt></ruby><ruby><rb>前</rb><rt>まえ</rt></ruby>に<ruby><rb>日本</rb><rt>にほん</rt></ruby>に<ruby><rb>来</rb><rt>き</rt></ruby>ました。<br>
I came to Japan 2 months ago.


<br><br>

Note: also written as ～ヵ月、～ヶ月、～カ月、～ケ月
"
～<ruby><rb>時</rb><rt>じ</rt></ruby>	"～<ruby><rb>時</rb><rt>じ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～じ<br>
<span style=""color:turquoise"">(<strong>n</strong>) hours (unit of time)</span>

<hr>

<ruby><rb>毎日</rb><rt>まいにち</rt></ruby>6<ruby><rb>時</rb><rt>じ</rt></ruby>に<ruby><rb>起</rb><rt>お</rt></ruby>きます。<br>
I wake up at 6 'oclock everyday.

"
～<ruby><rb>時間</rb><rt>じかん</rt></ruby>	"～<ruby><rb>時間</rb><rt>じかん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～じかん<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) period of hours</span>

<hr>

<ruby><rb>毎日</rb><rt>まいにち</rt></ruby>8<ruby><rb>時間</rb><rt>じかん</rt></ruby><ruby><rb>寝</rb><rt>ね</rt></ruby>ます。<br>
I sleep for 8 hours everyday.

"
～<ruby><rb>月</rb><rt>がつ</rt></ruby>	"～<ruby><rb>月</rb><rt>がつ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～がつ<br>
<span style=""color:turquoise"">(<strong>n</strong>) month (unit of time)</span>

<hr>

5<ruby><rb>月</rb><rt>がつ</rt></ruby><ruby><rb>5日</rb><rt>いつか</rt></ruby>は<ruby><rb>子供</rb><rt>こども</rt></ruby>の<ruby><rb>日</rb><rt>ひ</rt></ruby>だよ。<br>
May 5th is Children's Day.

"
～<ruby><rb>本</rb><rt>ほん</rt></ruby>	"～<ruby><rb>本</rb><rt>ほん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～ほん<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for cylidrical objects</span>

<hr>

ここに<ruby><rb>五</rb><rt>ご</rt></ruby><ruby><rb>本</rb><rt>ほん</rt></ruby>の<ruby><rb>鉛筆</rb><rt>えんぴつ</rt></ruby>がある。<br>
There are 5 pencils here.


<br><br>

Note: <ruby><rb>三本</rb><rt>ばんぼん</rt></ruby>、<ruby><rb>六本</rb><rt>ろっぽん</rt></ruby>、<ruby><rb>八本</rb><rt>はっぽん</rt></ruby>
"
～<ruby><rb>杯</rb><rt>はい</rt></ruby>	"～<ruby><rb>杯</rb><rt>はい</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～はい<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for cups (of liquid)</span>

<hr>

<ruby><rb>紅茶</rb><rt>こうちゃ</rt></ruby>2<ruby><rb>杯</rb><rt>はい</rt></ruby>をお<ruby><rb>願</rb><rt>ねが</rt></ruby>いします。<br>
2 cups of tea, please.


<br><br>

Note: <ruby><rb>一杯</rb><rt>いっぱい</rt></ruby>、<ruby><rb>三杯</rb><rt>さんばい</rt></ruby>
"
～<ruby><rb>枚</rb><rt>まい</rt></ruby>	"～<ruby><rb>枚</rb><rt>まい</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～まい<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for flat objects (ex. sheets of paper)</span>

<hr>

チケットは1<ruby><rb>枚</rb><rt>まい</rt></ruby>500<ruby><rb>円</rb><rt>えん</rt></ruby>です。<br>
One ticket is 500 yen.

"
～<ruby><rb>歳</rb><rt>さい</rt></ruby>	"～<ruby><rb>歳</rb><rt>さい</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～さい<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) ~ years old</span>

<hr>

<ruby><rb>来年</rb><rt>らいねん</rt></ruby><ruby><rb>二十歳</rb><rt>はたち</rt></ruby>になります。<br>
I will be twenty next year.


<br><br>

Note: <ruby><rb>二十歳</rb><rt>はたち</rt></ruby>
"
～<ruby><rb>番</rb><rt>ばん</rt></ruby>	"～<ruby><rb>番</rb><rt>ばん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～ばん<br>
<span style=""color:turquoise"">(<strong>n</strong>) number (in a series)</span>

<hr>

２<ruby><rb>番</rb><rt>ばん</rt></ruby>のバスに<ruby><rb>乗</rb><rt>の</rt></ruby>って、<ruby><rb>京都</rb><rt>きょうと</rt></ruby><ruby><rb>駅</rb><rt>えき</rt></ruby>で<ruby><rb>降</rb><rt>お</rt></ruby>りなさい。<br>
Take the number 2 bus and get off at Kyoto Station.

"
～<ruby><rb>週間</rb><rt>しゅうかん</rt></ruby>	"～<ruby><rb>週間</rb><rt>しゅうかん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～しゅうかん<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) period of weeks</span>

<hr>

<ruby><rb>一</rb><rt>いっ</rt></ruby><ruby><rb>週間</rb><rt>しゅうかん</rt></ruby>の<ruby><rb>旅行</rb><rt>りょこう</rt></ruby>です。<br>
It is a one week trip.


<br><br>

Note: <ruby><rb>一週間</rb><rt>いっしゅうかん</rt></ruby>
"
～<ruby><rb>階</rb><rt>かい</rt></ruby>	"～<ruby><rb>階</rb><rt>かい</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～かい<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for floors in a building</span>

<hr>

<ruby><rb>英語</rb><rt>えいご</rt></ruby>の<ruby><rb>教室</rb><rt>きょうしつ</rt></ruby>はあの<ruby><rb>建物</rb><rt>たてもの</rt></ruby>の<ruby><rb>6階</rb><rt>ろっかい</rt></ruby>にあります。<br>
The English classroom is on the 6th floor of that building.


<br><br>

Note: <ruby><rb>一階</rb><rt>いっかい</rt></ruby>、<ruby><rb>三階</rb><rt>さんがい</rt></ruby>、<ruby><rb>六階</rb><rt>ろっかい</rt></ruby>、<ruby><rb>十階</rb><rt>じゅっかい</rt></ruby>
"
あそこ	"あそこ

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

あそこ<br>
<span style=""color:turquoise"">(<strong>pn,adj-no</strong>) over there; that place</span>

<hr>

あそこに<ruby><rb>喫茶</rb><rt>きっさ</rt></ruby><ruby><rb>店</rb><rt>てん</rt></ruby>があります。<br>
There is a coffee shop over there.

"
あちら	"あちら

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

あちら<br>
<span style=""color:turquoise"">(<strong>pn,adj-no</strong>) that way; over there</span>

<hr>

あちらに<ruby><rb>富士</rb><rt>ふじ</rt></ruby><ruby><rb>山</rb><rt>さん</rt></ruby>が<ruby><rb>見</rb><rt>み</rt></ruby>えます。<br>
You can see Mt. Fuji over there.

"
あっち	"あっち

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

あっち<br>
<span style=""color:turquoise"">(<strong>pn,adj-no</strong>) that way; over there</span>

<hr>

あっちにエレベーターがあるよ。<br>
There is an elevator over there.

"
あなた	"あなた

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

あなた<br>
<span style=""color:turquoise"">(<strong>pn,adj-no</strong>) you</span>

<hr>

この<ruby><rb>靴</rb><rt>くつ</rt></ruby>はあなたのですか？<br>
Are these shoes yours?

"
あの	"あの

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

あの<br>
<span style=""color:turquoise"">(<strong>adj-pn</strong>) That over there</span>

<hr>

あの<ruby><rb>青</rb><rt>あお</rt></ruby>い<ruby><rb>車</rb><rt>くるま</rt></ruby>は<ruby><rb>私</rb><rt>わたし</rt></ruby>のです。<br>
That blue car over there is mine.

"
アパート	"アパート

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

アパート<br>
<span style=""color:turquoise"">(<strong>n</strong>) (abbr) apartment</span>

<hr>

<ruby><rb>東京</rb><rt>とうきょう</rt></ruby>でアパートを<ruby><rb>借</rb><rt>か</rt></ruby>りています。<br>
I am renting an apartment in Tokyo.

"
あまり	"あまり

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

あまり<br>
<span style=""color:turquoise"">(<strong>adv</strong>) not very</span>

<hr>

この<ruby><rb>本</rb><rt>ほん</rt></ruby>はあまり<ruby><rb>面白</rb><rt>おもしろ</rt></ruby>くないですね。<br>
This book isn't very interesting it is.

"
ある	"ある

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

ある<br>
<span style=""color:turquoise"">(<strong>v5r-i,vi</strong>) to be; to exist</span>

<hr>

テーブルの<ruby><rb>上</rb><rt>うえ</rt></ruby>にジュースが<ruby><rb>3杯</rb><rt>さんばい</rt></ruby>あります。<br>
There are 3 cups of juice on the table.

"
あれ	"あれ

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

あれ<br>
<span style=""color:turquoise"">(<strong>n</strong>) that thing; something understood without naming it directly</span>

<hr>

あれは<ruby><rb>何</rb><rt>なん</rt></ruby>ですか？<br>
What is that?

"
いいえ	"いいえ

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

いいえ<br>
<span style=""color:turquoise"">(<strong>int</strong>) no</span>

<hr>

<br>


"
いかが	"いかが

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

いかが<br>
<span style=""color:turquoise"">(<strong>adv</strong>) how; how about</span>

<hr>

<ruby><rb>味</rb><rt>あじ</rt></ruby>はいかがですか？<br>
How does it taste?

"
いくつ	"いくつ

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

いくつ<br>
<span style=""color:turquoise"">(<strong>adv</strong>) how many? | how old?</span>

<hr>

<ruby><rb>妹</rb><rt>いもうと</rt></ruby>さんはおいくつですか？<br>
How old is you little sister?

"
いくら	"いくら

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

いくら<br>
<span style=""color:turquoise"">(<strong>adv,n</strong>) how much?; how many?</span>

<hr>

この<ruby><rb>弁当</rb><rt>べんとう</rt></ruby>はいくらですか？<br>
How much is this bento?

"
いつ	"いつ

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

いつ<br>
<span style=""color:turquoise"">(<strong>n-adv,pn</strong>) when</span>

<hr>

いつまで<ruby><rb>東京</rb><rt>とうきょう</rt></ruby>にいますか？<br>
Until when will you be in Tokyo?

"
いつも	"いつも

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

いつも<br>
<span style=""color:turquoise"">(<strong>adv,n</strong>) always</span>

<hr>

<ruby><rb>彼女</rb><rt>かのじょ</rt></ruby>は<ruby><rb>仕事</rb><rt>しごと</rt></ruby>が<ruby><rb>多</rb><rt>おお</rt></ruby>くて、いつも<ruby><rb>忙</rb><rt>いそが</rt></ruby>しいです。<br>
She always busy because she has a lot of work.

"
いる	"いる

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

いる<br>
<span style=""color:turquoise"">(<strong>v1,vi</strong>) to be (living things); to exist | verb indicating continuing action or state</span>

<hr>

<ruby><rb>今</rb><rt>いま</rt></ruby><ruby><rb>彼</rb><rt>かれ</rt></ruby>は<ruby><rb>寝</rb><rt>ね</rt></ruby>ている。<br>
He is sleeping now.


<br><br>

Note: sometimes written with kanji<ruby><rb>居</rb><rt>い</rt></ruby>る (kanji not on test)
"
ええ	"ええ

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

ええ<br>
<span style=""color:turquoise"">(<strong>int</strong>) yes; that is correct; right</span>

<hr>

<br>


"
エレベーター	"エレベーター

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

エレベーター<br>
<span style=""color:turquoise"">(<strong>n</strong>) elevator</span>

<hr>

エレベーターが<ruby><rb>故障</rb><rt>こしょう</rt></ruby>しています。<br>
The elevator is out of order.


<br><br>

Note: also written as エレベータ
"
おじいさん	"おじいさん

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おじいさん<br>
<span style=""color:turquoise"">(<strong>n</strong>) grandfather</span>

<hr>

おじいさんの<ruby><rb>世話</rb><rt>せわ</rt></ruby>をする。<br>
I take care of my grandfather.

"
おばあさん	"おばあさん

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おばあさん<br>
<span style=""color:turquoise"">(<strong>n</strong>) grandmother</span>

<hr>

<ruby><rb>彼</rb><rt>かれ</rt></ruby>のおばあさんは<ruby><rb>今年</rb><rt>ことし</rt></ruby>90<ruby><rb>歳</rb><rt>さい</rt></ruby>です。<br>
His grandmonther will be 90 this year.

"
お<ruby><rb>兄</rb><rt>にい</rt></ruby>さん	"お<ruby><rb>兄</rb><rt>にい</rt></ruby>さん

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おにいさん<br>
<span style=""color:turquoise"">(<strong>n</strong>) older brother</span>

<hr>

お<ruby><rb>兄</rb><rt>にい</rt></ruby>さんは<ruby><rb>何</rb><rt>なん</rt></ruby><ruby><rb>歳</rb><rt>さい</rt></ruby>ですか？<br>
How old is your older brother?

"
お<ruby><rb>姉</rb><rt>ねえ</rt></ruby>さん	"お<ruby><rb>姉</rb><rt>ねえ</rt></ruby>さん

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おねえさん<br>
<span style=""color:turquoise"">(<strong>n</strong>) elder sister</span>

<hr>

<ruby><rb>彼</rb><rt>かれ</rt></ruby>のお<ruby><rb>姉</rb><rt>ねえ</rt></ruby>さんは<ruby><rb>20歳</rb><rt>はたち</rt></ruby>です。<br>
His older sister is 20 years old.

"
お<ruby><rb>手洗</rb><rt>てあら</rt></ruby>い	"お<ruby><rb>手洗</rb><rt>てあら</rt></ruby>い

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おてあらい<br>
<span style=""color:turquoise"">(<strong>n</strong>) toilet; restroom</span>

<hr>

お<ruby><rb>手洗</rb><rt>てあら</rt></ruby>いはどこですか。<br>
Where is the bathroom?

"
お<ruby><rb>母</rb><rt>かあ</rt></ruby>さん	"お<ruby><rb>母</rb><rt>かあ</rt></ruby>さん

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おかあさん<br>
<span style=""color:turquoise"">(<strong>n</strong>) mother</span>

<hr>

お<ruby><rb>母</rb><rt>かあ</rt></ruby>さんは<ruby><rb>料理</rb><rt>りょうり</rt></ruby>が<ruby><rb>上手</rb><rt>じょうず</rt></ruby>ですか？<br>
Is your mother good at cooking.

"
お<ruby><rb>父</rb><rt>とう</rt></ruby>さん	"お<ruby><rb>父</rb><rt>とう</rt></ruby>さん

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おとうさん<br>
<span style=""color:turquoise"">(<strong>n</strong>) father</span>

<hr>

お<ruby><rb>父</rb><rt>とう</rt></ruby>さんは<ruby><rb>何</rb><rt>なん</rt></ruby>の<ruby><rb>仕事</rb><rt>しごと</rt></ruby>をしていますか？<br>
What kind of work does your father do?

"
お<ruby><rb>腹</rb><rt>なか</rt></ruby>	"お<ruby><rb>腹</rb><rt>なか</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おなか<br>
<span style=""color:turquoise"">(<strong>n</strong>) abdomen; stomach</span>

<hr>

お<ruby><rb>腹</rb><rt>なか</rt></ruby>が<ruby><rb>空</rb><rt>す</rt></ruby>いていますか？<br>
Are you hungry?

"
お<ruby><rb>茶</rb><rt>ちゃ</rt></ruby>	"お<ruby><rb>茶</rb><rt>ちゃ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おちゃ<br>
<span style=""color:turquoise"">(<strong>n</strong>) tea (usu. Green)</span>

<hr>

レストランのお<ruby><rb>茶</rb><rt>ちゃ</rt></ruby>の<ruby><rb>方</rb><rt>ほう</rt></ruby>が<ruby><rb>自動販売機</rb><rt>じどうはんばいき</rt></ruby>のお<ruby><rb>茶</rb><rt>ちゃ</rt></ruby>より<ruby><rb>美味</rb><rt>おい</rt></ruby>しいです。<br>
Tea at the restaurant is more delicous that tea from the vending machine.

"
お<ruby><rb>菓子</rb><rt>かし</rt></ruby>	"お<ruby><rb>菓子</rb><rt>かし</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おかし<br>
<span style=""color:turquoise"">(<strong>n</strong>) confections; sweets; candy</span>

<hr>

デパートの<ruby><rb>地下</rb><rt>ちか</rt></ruby>にお<ruby><rb>菓子</rb><rt>かし</rt></ruby>を<ruby><rb>売</rb><rt>う</rt></ruby>っている<ruby><rb>店</rb><rt>てん</rt></ruby>がたくさんあります。<br>
There are many stores that sell sweets in the basement of the department store.

"
お<ruby><rb>金</rb><rt>かね</rt></ruby>	"お<ruby><rb>金</rb><rt>かね</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

おかね<br>
<span style=""color:turquoise"">(<strong>n</strong>) money</span>

<hr>

<ruby><rb>財布</rb><rt>さいふ</rt></ruby>にお<ruby><rb>金</rb><rt>かね</rt></ruby>が<ruby><rb>入</rb><rt>はい</rt></ruby>っています。<br>
The money is in my wallet.

"
かかる	"かかる

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

かかる<br>
<span style=""color:turquoise"">(<strong>v5r,vi</strong>) to take (a resource, e.g. time or money)</span>

<hr>

<ruby><rb>飛行機</rb><rt>ひこうき</rt></ruby>で<ruby><rb>韓国</rb><rt>かんこく</rt></ruby>まで<ruby><rb>何時間</rb><rt>なんじかん</rt></ruby>かかりますか？<br>
How many hours does it take until Korea by plane?

"
カメラ	"カメラ

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

カメラ<br>
<span style=""color:turquoise"">(<strong>n</strong>) camera</span>

<hr>

<ruby><rb>私</rb><rt>わたし</rt></ruby>のカメラは<ruby><rb>黄色</rb><rt>きいろ</rt></ruby>い<ruby><rb>鞄</rb><rt>かばん</rt></ruby>の<ruby><rb>中</rb><rt>なか</rt></ruby>にあります。<br>
My camera is in the yellow bag.

"
カレー	"カレー

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

カレー<br>
<span style=""color:turquoise"">(<strong>n</strong>) curry</span>

<hr>

<ruby><rb>辛</rb><rt>から</rt></ruby>いカレーはあまり<ruby><rb>好</rb><rt>す</rt></ruby>きじゃないです。<br>
I don't really like spicy curry.

"
カレンダー	"カレンダー

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

カレンダー<br>
<span style=""color:turquoise"">(<strong>n</strong>) calendar</span>

<hr>

<ruby><rb>来週</rb><rt>らいしゅう</rt></ruby>の<ruby><rb>予定</rb><rt>よてい</rt></ruby>をカレンダーに<ruby><rb>書</rb><rt>か</rt></ruby>きました。<br>
I wrote my plans for next week in the calendar.

"
